Credit_amount,Employment,Installment_commitment,Personal_status,Age,Existing_credits,Job,Own_telephone,Class
1007.0,1<=X<4,4.0,male mar/wid,22.0,1,skilled,0,1
1819.0,1<=X<4,4.0,male single,37.0,1,skilled,1,0
2394.0,1<=X<4,4.0,female div/dep/mar,25.0,1,skilled,0,1
8133.0,1<=X<4,1.0,female div/dep/mar,30.0,1,skilled,0,1
730.0,>=7,4.0,male single,46.0,2,unskilled resident,1,1
1164.0,>=7,3.0,male single,51.0,2,high qualif/self emp/mgmt,1,1
5954.0,4<=X<7,2.0,female div/dep/mar,41.0,2,unskilled resident,0,1
1977.0,>=7,4.0,male single,40.0,1,high qualif/self emp/mgmt,1,0
1526.0,>=7,4.0,male single,66.0,2,high qualif/self emp/mgmt,0,1
3965.0,<1,4.0,male single,34.0,1,skilled,0,0
4771.0,4<=X<7,2.0,male single,51.0,1,skilled,0,1
9436.0,1<=X<4,2.0,male single,39.0,1,unskilled resident,0,1
3832.0,<1,2.0,male mar/wid,22.0,1,skilled,0,1
5943.0,<1,1.0,female div/dep/mar,44.0,2,skilled,1,0
1213.0,>=7,4.0,male single,47.0,1,skilled,1,1
1568.0,1<=X<4,3.0,female div/dep/mar,24.0,1,unskilled resident,0,1
1755.0,>=7,4.0,female div/dep/mar,58.0,1,unskilled resident,1,1
2315.0,>=7,3.0,male single,52.0,1,unskilled resident,0,1
1412.0,1<=X<4,4.0,female div/dep/mar,29.0,2,high qualif/self emp/mgmt,1,1
1295.0,<1,4.0,female div/dep/mar,27.0,2,skilled,0,1
12612.0,1<=X<4,1.0,male single,47.0,1,skilled,1,0
2249.0,4<=X<7,4.0,male single,30.0,1,high qualif/self emp/mgmt,1,1
1108.0,4<=X<7,4.0,male single,28.0,2,skilled,0,0
618.0,>=7,4.0,male single,56.0,1,skilled,0,1
1409.0,>=7,4.0,male single,54.0,1,skilled,0,1
797.0,>=7,4.0,female div/dep/mar,33.0,1,unskilled resident,0,0
3617.0,>=7,4.0,male single,20.0,2,skilled,0,1
1318.0,>=7,4.0,male single,54.0,1,skilled,1,1
15945.0,<1,3.0,male single,58.0,1,skilled,1,0
2012.0,4<=X<7,4.0,female div/dep/mar,61.0,1,skilled,0,1
2622.0,1<=X<4,4.0,male single,34.0,1,skilled,0,1
2337.0,>=7,4.0,male single,36.0,1,skilled,0,1
7057.0,4<=X<7,3.0,male single,36.0,2,high qualif/self emp/mgmt,1,1
1469.0,>=7,4.0,male mar/wid,41.0,1,unskilled resident,0,1
2323.0,4<=X<7,4.0,male single,24.0,1,skilled,0,1
932.0,1<=X<4,3.0,female div/dep/mar,24.0,1,skilled,0,1
1919.0,4<=X<7,4.0,male single,35.0,1,skilled,1,1
2445.0,<1,2.0,male mar/wid,26.0,1,skilled,1,1
11938.0,1<=X<4,2.0,male single,39.0,2,high qualif/self emp/mgmt,1,0
6458.0,>=7,2.0,male single,39.0,2,high qualif/self emp/mgmt,1,0
6078.0,4<=X<7,2.0,male single,32.0,1,skilled,0,1
7721.0,<1,1.0,female div/dep/mar,30.0,1,skilled,1,1
1410.0,>=7,1.0,male mar/wid,35.0,1,skilled,1,1
1449.0,>=7,1.0,male div/sep,31.0,2,skilled,0,1
392.0,<1,4.0,female div/dep/mar,23.0,1,skilled,1,1
6260.0,4<=X<7,3.0,male single,28.0,1,unskilled resident,0,1
7855.0,1<=X<4,4.0,female div/dep/mar,25.0,2,skilled,1,0
1680.0,>=7,3.0,male mar/wid,35.0,1,skilled,0,1
3578.0,>=7,4.0,male single,47.0,1,skilled,1,1
7174.0,4<=X<7,4.0,female div/dep/mar,30.0,1,high qualif/self emp/mgmt,1,0
2132.0,<1,2.0,female div/dep/mar,27.0,2,skilled,0,1
4281.0,1<=X<4,1.0,female div/dep/mar,23.0,2,skilled,0,0
2366.0,4<=X<7,3.0,male div/sep,36.0,1,high qualif/self emp/mgmt,1,1
1835.0,1<=X<4,3.0,female div/dep/mar,25.0,2,skilled,1,0
3868.0,>=7,4.0,female div/dep/mar,41.0,2,high qualif/self emp/mgmt,1,1
1768.0,1<=X<4,3.0,male single,24.0,1,unskilled resident,0,1
781.0,>=7,4.0,male single,63.0,2,skilled,1,1
1924.0,<1,4.0,female div/dep/mar,27.0,1,skilled,0,0
2121.0,1<=X<4,4.0,male single,30.0,2,skilled,0,1
701.0,1<=X<4,4.0,male mar/wid,40.0,1,unskilled resident,0,1
639.0,1<=X<4,4.0,male single,30.0,1,skilled,0,0
1860.0,unemployed,4.0,male single,34.0,2,high qualif/self emp/mgmt,1,1
3499.0,1<=X<4,3.0,female div/dep/mar,29.0,2,skilled,0,0
8487.0,4<=X<7,1.0,female div/dep/mar,24.0,1,skilled,0,1
6887.0,1<=X<4,4.0,male single,29.0,1,skilled,1,0
2708.0,<1,2.0,male single,27.0,2,unskilled resident,0,1
1984.0,1<=X<4,4.0,male single,47.0,2,skilled,0,1
10144.0,4<=X<7,2.0,female div/dep/mar,21.0,1,skilled,1,1
1240.0,>=7,4.0,female div/dep/mar,38.0,2,skilled,1,1
8613.0,1<=X<4,2.0,male single,27.0,2,skilled,0,1
766.0,1<=X<4,4.0,male single,66.0,1,unskilled resident,0,0
2728.0,4<=X<7,4.0,male single,35.0,3,skilled,1,1
1881.0,1<=X<4,2.0,female div/dep/mar,44.0,1,unskilled resident,1,1
709.0,<1,2.0,male mar/wid,27.0,1,unemp/unskilled non res,0,1
4795.0,<1,4.0,female div/dep/mar,30.0,1,high qualif/self emp/mgmt,1,1
3416.0,1<=X<4,3.0,male single,27.0,1,high qualif/self emp/mgmt,0,1
2462.0,1<=X<4,2.0,male single,22.0,1,skilled,0,0
2288.0,<1,4.0,female div/dep/mar,23.0,1,skilled,1,1
3566.0,4<=X<7,4.0,male single,30.0,1,skilled,0,1
860.0,>=7,1.0,female div/dep/mar,39.0,2,skilled,1,1
682.0,4<=X<7,4.0,female div/dep/mar,51.0,2,skilled,1,1
5371.0,1<=X<4,3.0,male single,28.0,2,skilled,0,1
1582.0,>=7,4.0,male single,46.0,2,skilled,0,1
1346.0,>=7,2.0,male single,42.0,1,skilled,1,1
1924.0,1<=X<4,1.0,male single,38.0,1,skilled,1,1
5848.0,1<=X<4,4.0,male single,24.0,1,skilled,0,1
7758.0,>=7,2.0,female div/dep/mar,29.0,1,skilled,0,1
6967.0,4<=X<7,4.0,male single,36.0,1,high qualif/self emp/mgmt,1,1
1282.0,1<=X<4,2.0,female div/dep/mar,20.0,1,skilled,0,0
1288.0,>=7,3.0,male single,48.0,2,skilled,0,1
339.0,>=7,4.0,male mar/wid,45.0,1,unskilled resident,0,1
3512.0,4<=X<7,2.0,male single,38.0,2,skilled,1,1
1898.0,1<=X<4,1.0,male single,34.0,2,unskilled resident,0,1
2872.0,>=7,3.0,male single,36.0,1,skilled,1,1
1055.0,<1,4.0,female div/dep/mar,30.0,2,skilled,0,1
1262.0,4<=X<7,4.0,male single,36.0,2,skilled,1,1
7308.0,unemployed,2.0,male single,70.0,1,high qualif/self emp/mgmt,1,1
909.0,>=7,4.0,male single,36.0,1,skilled,0,1
2978.0,1<=X<4,1.0,male single,32.0,1,skilled,1,1
1131.0,unemployed,4.0,female div/dep/mar,33.0,1,skilled,0,0
1577.0,<1,4.0,female div/dep/mar,20.0,1,skilled,0,1
3972.0,4<=X<7,2.0,female div/dep/mar,25.0,1,skilled,1,1
1935.0,>=7,4.0,male div/sep,31.0,2,skilled,1,0
950.0,>=7,4.0,male single,33.0,2,skilled,0,0
763.0,1<=X<4,4.0,female div/dep/mar,26.0,1,skilled,1,1
2064.0,unemployed,3.0,female div/dep/mar,34.0,1,high qualif/self emp/mgmt,1,0
1414.0,1<=X<4,4.0,male single,33.0,1,skilled,0,1
3414.0,<1,2.0,male single,26.0,2,skilled,0,0
7485.0,unemployed,4.0,female div/dep/mar,53.0,1,high qualif/self emp/mgmt,1,0
2577.0,1<=X<4,2.0,male div/sep,42.0,1,skilled,0,1
338.0,>=7,4.0,male single,52.0,2,skilled,0,1
1963.0,4<=X<7,4.0,male single,31.0,2,high qualif/self emp/mgmt,1,1
571.0,>=7,4.0,male single,65.0,2,skilled,0,1
9572.0,<1,1.0,male div/sep,28.0,2,skilled,0,0
4455.0,1<=X<4,2.0,male div/sep,30.0,2,high qualif/self emp/mgmt,1,0
1647.0,1<=X<4,4.0,male single,40.0,2,unskilled resident,0,0
3777.0,1<=X<4,4.0,male single,50.0,1,skilled,1,1
884.0,>=7,4.0,male single,36.0,1,skilled,1,0
1360.0,1<=X<4,4.0,male single,31.0,2,skilled,0,1
5129.0,>=7,2.0,female div/dep/mar,74.0,1,high qualif/self emp/mgmt,1,0
1175.0,unemployed,2.0,male single,68.0,3,unemp/unskilled non res,1,1
674.0,4<=X<7,4.0,male mar/wid,20.0,1,skilled,0,0
3244.0,1<=X<4,1.0,female div/dep/mar,33.0,2,skilled,1,1
4591.0,1<=X<4,2.0,male single,54.0,3,high qualif/self emp/mgmt,1,0
3844.0,4<=X<7,4.0,male single,34.0,1,unskilled resident,0,0
3915.0,1<=X<4,4.0,male single,36.0,1,skilled,1,0
2108.0,4<=X<7,2.0,male mar/wid,29.0,1,skilled,0,1
3031.0,1<=X<4,4.0,male single,21.0,1,skilled,0,0
1501.0,>=7,2.0,female div/dep/mar,34.0,2,high qualif/self emp/mgmt,1,0
1382.0,1<=X<4,1.0,female div/dep/mar,28.0,2,skilled,1,1
951.0,<1,4.0,female div/dep/mar,27.0,4,skilled,0,0
2760.0,>=7,4.0,male single,36.0,1,skilled,1,1
4297.0,>=7,4.0,male div/sep,40.0,1,high qualif/self emp/mgmt,1,0
936.0,>=7,4.0,male single,52.0,2,skilled,1,1
1168.0,1<=X<4,4.0,male mar/wid,27.0,1,unskilled resident,0,1
5117.0,4<=X<7,3.0,male single,26.0,2,skilled,0,1
902.0,4<=X<7,4.0,male mar/wid,21.0,1,skilled,0,0
1495.0,>=7,4.0,male single,38.0,2,unskilled resident,0,1
10623.0,>=7,3.0,male single,38.0,3,high qualif/self emp/mgmt,1,1
1935.0,>=7,4.0,male single,43.0,3,skilled,1,1
1424.0,4<=X<7,4.0,male single,26.0,1,skilled,0,1
6568.0,1<=X<4,2.0,male mar/wid,21.0,1,unskilled resident,0,1
1413.0,4<=X<7,3.0,male single,55.0,1,skilled,0,1
3074.0,1<=X<4,1.0,male single,33.0,2,skilled,0,1
3835.0,>=7,2.0,female div/dep/mar,45.0,1,unskilled resident,1,1
5293.0,unemployed,2.0,male single,50.0,2,skilled,1,0
1908.0,>=7,4.0,male single,66.0,1,high qualif/self emp/mgmt,1,0
3342.0,>=7,4.0,male single,51.0,1,skilled,1,1
932.0,4<=X<7,1.0,female div/dep/mar,39.0,2,unskilled resident,0,1
3104.0,4<=X<7,3.0,male single,31.0,1,skilled,1,1
3913.0,1<=X<4,2.0,male single,23.0,1,skilled,1,1
3021.0,1<=X<4,2.0,male div/sep,24.0,1,unskilled resident,0,1
1364.0,1<=X<4,2.0,female div/dep/mar,64.0,1,skilled,1,1
625.0,<1,4.0,male mar/wid,26.0,1,unskilled resident,0,1
1200.0,1<=X<4,4.0,female div/dep/mar,23.0,1,skilled,1,1
707.0,1<=X<4,4.0,male single,30.0,2,skilled,0,1
2978.0,1<=X<4,4.0,male single,32.0,2,skilled,1,1
4657.0,1<=X<4,3.0,male single,30.0,1,skilled,1,1
2613.0,1<=X<4,4.0,male single,27.0,2,skilled,0,1
10961.0,4<=X<7,1.0,male single,27.0,2,skilled,1,0
7865.0,>=7,4.0,male single,53.0,1,high qualif/self emp/mgmt,1,0
1478.0,4<=X<7,4.0,male single,22.0,1,skilled,0,0
3149.0,<1,4.0,male single,22.0,1,skilled,0,1
4210.0,1<=X<4,4.0,male single,26.0,1,skilled,0,0
2507.0,>=7,2.0,male single,51.0,1,unskilled resident,0,1
2141.0,4<=X<7,3.0,male single,35.0,1,skilled,0,1
866.0,1<=X<4,4.0,male mar/wid,25.0,1,unskilled resident,0,1
1544.0,4<=X<7,2.0,male single,42.0,3,unskilled resident,0,1
1823.0,unemployed,4.0,male single,30.0,1,high qualif/self emp/mgmt,0,0
14555.0,unemployed,1.0,male single,23.0,1,unemp/unskilled non res,1,0
2767.0,>=7,4.0,male div/sep,61.0,2,unskilled resident,0,0
1291.0,1<=X<4,4.0,female div/dep/mar,35.0,2,skilled,0,1
2522.0,>=7,1.0,male single,39.0,1,skilled,0,1
915.0,>=7,4.0,female div/dep/mar,29.0,1,skilled,0,0
1595.0,4<=X<7,3.0,male single,51.0,1,skilled,0,1
4605.0,>=7,3.0,male single,24.0,2,skilled,0,0
1185.0,1<=X<4,3.0,female div/dep/mar,27.0,2,skilled,0,1
3447.0,1<=X<4,4.0,female div/dep/mar,35.0,1,unskilled resident,0,1
1258.0,4<=X<7,4.0,male single,25.0,1,skilled,1,1
717.0,>=7,4.0,male single,52.0,3,skilled,0,1
1204.0,1<=X<4,4.0,male single,35.0,1,skilled,0,1
1925.0,1<=X<4,2.0,male single,26.0,1,skilled,0,1
433.0,unemployed,3.0,female div/dep/mar,22.0,1,skilled,0,0
666.0,4<=X<7,3.0,female div/dep/mar,39.0,2,unskilled resident,1,1
2251.0,1<=X<4,1.0,female div/dep/mar,46.0,1,unskilled resident,0,1
2150.0,1<=X<4,4.0,female div/dep/mar,24.0,1,skilled,0,0
4151.0,1<=X<4,2.0,male single,35.0,2,skilled,0,1
2030.0,4<=X<7,2.0,male single,24.0,1,skilled,1,1
7418.0,1<=X<4,1.0,male single,27.0,1,unskilled resident,0,1
2684.0,1<=X<4,4.0,male single,35.0,2,unskilled resident,0,1
2149.0,1<=X<4,4.0,male div/sep,29.0,1,skilled,0,0
3812.0,<1,1.0,female div/dep/mar,23.0,1,skilled,1,1
1154.0,unemployed,4.0,female div/dep/mar,57.0,3,unskilled resident,0,1
1657.0,1<=X<4,2.0,male single,27.0,1,skilled,0,1
1603.0,>=7,4.0,female div/dep/mar,55.0,1,skilled,0,1
5302.0,>=7,2.0,male single,36.0,3,high qualif/self emp/mgmt,1,1
2748.0,>=7,2.0,female div/dep/mar,57.0,3,unskilled resident,0,1
1231.0,>=7,3.0,male single,32.0,2,unskilled resident,0,1
802.0,>=7,4.0,male single,37.0,1,skilled,0,0
6304.0,>=7,4.0,male single,36.0,2,skilled,0,1
1533.0,<1,4.0,female div/dep/mar,38.0,1,skilled,1,1
8978.0,>=7,1.0,male div/sep,45.0,1,high qualif/self emp/mgmt,1,0
999.0,>=7,4.0,male single,25.0,2,skilled,0,1
2662.0,4<=X<7,4.0,male single,32.0,1,skilled,0,1
1402.0,4<=X<7,3.0,female div/dep/mar,37.0,1,skilled,1,1
12169.0,unemployed,4.0,male single,36.0,1,high qualif/self emp/mgmt,1,1
3060.0,4<=X<7,4.0,male single,28.0,2,skilled,0,0
11998.0,<1,1.0,male div/sep,34.0,1,unskilled resident,1,0
2697.0,1<=X<4,1.0,male single,32.0,1,skilled,0,1
2404.0,1<=X<4,2.0,female div/dep/mar,26.0,2,skilled,0,1
1262.0,>=7,2.0,male div/sep,49.0,1,unskilled resident,1,1
4611.0,<1,1.0,female div/dep/mar,32.0,1,skilled,0,0
1901.0,1<=X<4,4.0,male single,29.0,1,high qualif/self emp/mgmt,1,1
3368.0,>=7,3.0,male single,23.0,2,skilled,1,1
1574.0,1<=X<4,4.0,male single,50.0,1,skilled,0,1
1445.0,4<=X<7,4.0,male single,49.0,1,unskilled resident,0,1
1520.0,>=7,4.0,male single,63.0,1,skilled,0,1
3878.0,<1,4.0,male div/sep,37.0,1,skilled,1,1
10722.0,<1,1.0,female div/dep/mar,35.0,1,unskilled resident,1,1
4788.0,4<=X<7,4.0,male single,26.0,1,skilled,0,1
7582.0,unemployed,2.0,male single,31.0,1,high qualif/self emp/mgmt,1,1
1092.0,1<=X<4,4.0,female div/dep/mar,49.0,2,skilled,1,1
1024.0,<1,4.0,male mar/wid,48.0,1,skilled,0,0
1076.0,1<=X<4,2.0,male mar/wid,26.0,1,skilled,1,1
9398.0,<1,1.0,male mar/wid,28.0,1,high qualif/self emp/mgmt,1,0
6419.0,>=7,2.0,female div/dep/mar,44.0,2,high qualif/self emp/mgmt,1,1
4796.0,>=7,4.0,male single,56.0,1,skilled,0,1
7629.0,>=7,4.0,male div/sep,46.0,2,high qualif/self emp/mgmt,0,1
9960.0,<1,1.0,female div/dep/mar,26.0,1,skilled,1,0
4675.0,<1,1.0,female div/dep/mar,20.0,1,skilled,0,1
1287.0,>=7,4.0,male single,45.0,1,unskilled resident,0,1
2515.0,1<=X<4,3.0,male single,43.0,1,skilled,1,1
2745.0,4<=X<7,3.0,male single,32.0,2,skilled,1,1
672.0,unemployed,1.0,female div/dep/mar,54.0,1,unemp/unskilled non res,1,1
3804.0,1<=X<4,4.0,female div/dep/mar,42.0,1,skilled,1,0
1344.0,4<=X<7,4.0,male single,37.0,2,unskilled resident,0,0
1038.0,4<=X<7,4.0,male single,49.0,2,skilled,1,1
10127.0,1<=X<4,2.0,male single,44.0,1,skilled,0,0
1543.0,1<=X<4,4.0,male div/sep,33.0,1,skilled,0,1
4811.0,4<=X<7,2.0,female div/dep/mar,24.0,1,unskilled resident,0,1
727.0,<1,4.0,male mar/wid,33.0,1,unskilled resident,1,0
1237.0,1<=X<4,3.0,female div/dep/mar,24.0,1,skilled,0,0
276.0,1<=X<4,4.0,male mar/wid,22.0,1,unskilled resident,0,1
5381.0,unemployed,3.0,male single,40.0,1,unemp/unskilled non res,1,1
5511.0,1<=X<4,4.0,male single,25.0,1,skilled,0,1
3749.0,<1,2.0,female div/dep/mar,26.0,1,skilled,0,1
685.0,4<=X<7,2.0,male mar/wid,25.0,1,unskilled resident,0,0
1494.0,<1,1.0,male single,29.0,1,unskilled resident,0,1
2746.0,>=7,4.0,male single,31.0,1,skilled,0,0
708.0,1<=X<4,2.0,male single,38.0,1,unskilled resident,0,1
4351.0,1<=X<4,1.0,female div/dep/mar,48.0,1,unskilled resident,1,1
701.0,1<=X<4,4.0,male single,32.0,2,skilled,0,1
3643.0,>=7,1.0,female div/dep/mar,27.0,2,unskilled resident,0,1
4249.0,unemployed,4.0,male mar/wid,28.0,2,high qualif/self emp/mgmt,0,0
1938.0,<1,4.0,male div/sep,32.0,1,skilled,0,0
2910.0,4<=X<7,2.0,male single,34.0,1,high qualif/self emp/mgmt,1,1
2659.0,1<=X<4,4.0,male single,28.0,1,skilled,0,1
1028.0,1<=X<4,4.0,female div/dep/mar,36.0,2,skilled,0,1
3398.0,4<=X<7,1.0,male single,39.0,2,unskilled resident,0,1
5801.0,>=7,2.0,male single,49.0,1,skilled,1,1
1525.0,4<=X<7,4.0,female div/dep/mar,34.0,1,skilled,1,1
4473.0,>=7,4.0,male single,31.0,1,skilled,0,1
1068.0,>=7,4.0,male single,28.0,1,skilled,0,1
6615.0,unemployed,2.0,male single,75.0,2,high qualif/self emp/mgmt,1,1
1864.0,1<=X<4,4.0,female div/dep/mar,30.0,2,skilled,0,0
7408.0,<1,4.0,female div/dep/mar,24.0,1,high qualif/self emp/mgmt,0,0
11590.0,1<=X<4,2.0,female div/dep/mar,24.0,2,unskilled resident,0,0
4110.0,>=7,3.0,male single,23.0,2,skilled,0,0
3384.0,1<=X<4,1.0,male div/sep,44.0,1,high qualif/self emp/mgmt,1,0
2101.0,<1,2.0,female div/dep/mar,23.0,1,unskilled resident,0,1
1275.0,1<=X<4,4.0,female div/dep/mar,24.0,1,skilled,0,0
4169.0,1<=X<4,4.0,male single,28.0,1,skilled,0,1
1521.0,1<=X<4,4.0,male div/sep,31.0,1,unskilled resident,0,1
5743.0,<1,2.0,female div/dep/mar,24.0,2,skilled,1,1
3599.0,4<=X<7,1.0,female div/dep/mar,26.0,1,unskilled resident,0,1
3213.0,<1,1.0,male mar/wid,25.0,1,skilled,0,1
4439.0,>=7,1.0,male single,33.0,1,high qualif/self emp/mgmt,1,1
3949.0,<1,1.0,male single,37.0,1,unskilled resident,0,1
1459.0,1<=X<4,4.0,female div/dep/mar,43.0,1,unskilled resident,0,1
882.0,<1,4.0,male single,23.0,2,skilled,0,1
3758.0,unemployed,1.0,female div/dep/mar,23.0,1,unemp/unskilled non res,0,1
1743.0,1<=X<4,1.0,male single,34.0,2,unskilled resident,0,1
1136.0,>=7,4.0,male single,32.0,2,skilled,0,0
1236.0,<1,1.0,female div/dep/mar,23.0,1,skilled,1,1
959.0,1<=X<4,1.0,female div/dep/mar,29.0,1,skilled,0,0
3229.0,unemployed,2.0,male single,38.0,1,high qualif/self emp/mgmt,1,1
6199.0,1<=X<4,4.0,male single,28.0,2,skilled,1,0
727.0,>=7,4.0,male single,46.0,1,skilled,1,1
1246.0,<1,4.0,male single,23.0,1,unskilled resident,0,0
2331.0,>=7,1.0,male single,49.0,1,skilled,1,1
4463.0,1<=X<4,4.0,male single,26.0,2,high qualif/self emp/mgmt,1,0
776.0,1<=X<4,4.0,male mar/wid,28.0,1,skilled,0,1
2406.0,4<=X<7,4.0,female div/dep/mar,23.0,1,skilled,0,0
1239.0,1<=X<4,4.0,male single,61.0,1,skilled,0,1
3399.0,>=7,2.0,male single,37.0,1,high qualif/self emp/mgmt,0,1
2247.0,1<=X<4,2.0,female div/dep/mar,36.0,2,skilled,1,1
1766.0,1<=X<4,1.0,male mar/wid,21.0,1,skilled,0,1
2473.0,unemployed,4.0,male single,25.0,1,unemp/unskilled non res,0,0
1542.0,4<=X<7,2.0,male single,36.0,1,skilled,1,1
3850.0,4<=X<7,3.0,male single,27.0,2,skilled,0,1
3650.0,<1,1.0,female div/dep/mar,22.0,1,skilled,0,1
3446.0,>=7,4.0,male single,42.0,1,skilled,0,0
3001.0,4<=X<7,2.0,female div/dep/mar,40.0,1,skilled,0,1
3079.0,1<=X<4,4.0,male single,36.0,1,skilled,0,1
6070.0,>=7,3.0,male single,33.0,2,skilled,1,1
2146.0,<1,1.0,female div/dep/mar,23.0,2,skilled,0,1
13756.0,>=7,2.0,male single,63.0,1,high qualif/self emp/mgmt,1,1
14782.0,>=7,3.0,female div/dep/mar,60.0,2,high qualif/self emp/mgmt,1,0
7685.0,4<=X<7,2.0,female div/dep/mar,37.0,1,skilled,0,0
2320.0,unemployed,2.0,male mar/wid,34.0,2,skilled,0,1
846.0,>=7,3.0,male single,36.0,1,skilled,0,1
14318.0,>=7,4.0,male single,57.0,1,high qualif/self emp/mgmt,1,0
362.0,1<=X<4,4.0,female div/dep/mar,52.0,2,unskilled resident,0,1
2212.0,4<=X<7,4.0,male single,39.0,1,skilled,1,1
12976.0,unemployed,3.0,female div/dep/mar,38.0,1,high qualif/self emp/mgmt,1,0
1283.0,4<=X<7,4.0,female div/dep/mar,25.0,1,skilled,0,1
1330.0,<1,4.0,male single,26.0,1,skilled,0,1
4272.0,1<=X<4,2.0,male single,26.0,2,unskilled resident,0,1
2238.0,1<=X<4,2.0,female div/dep/mar,25.0,2,skilled,0,1
